frequency,time
49.998,14.10.2024 02:00:00
49.998,14.10.2024 02:00:01
49.998,14.10.2024 02:00:02
49.998,14.10.2024 02:00:03
49.998,14.10.2024 02:00:04
49.998,14.10.2024 02:00:05
49.998,14.10.2024 02:00:06
49.998,14.10.2024 02:00:07
49.998,14.10.2024 02:00:08
49.998,14.10.2024 02:00:09
49.998,14.10.2024 02:00:10
49.998,14.10.2024 02:00:11
49.998,14.10.2024 02:00:12
49.998,14.10.2024 02:00:13
49.998,14.10.2024 02:00:14
49.998,14.10.2024 02:00:15
49.998,14.10.2024 02:00:16
49.998,14.10.2024 02:00:17
49.984,14.10.2024 02:00:18
49.984,14.10.2024 02:00:19
49.984,14.10.2024 02:00:20
49.984,14.10.2024 02:00:21
49.984,14.10.2024 02:00:22
49.984,14.10.2024 02:00:23
49.984,14.10.2024 02:00:24
49.984,14.10.2024 02:00:25
49.984,14.10.2024 02:00:26
49.984,14.10.2024 02:00:27
49.958,14.10.2024 02:00:28
49.958,14.10.2024 02:00:29
49.958,14.10.2024 02:00:30
49.958,14.10.2024 02:00:31
49.958,14.10.2024 02:00:32
49.958,14.10.2024 02:00:33
49.958,14.10.2024 02:00:34
49.958,14.10.2024 02:00:35
49.958,14.10.2024 02:00:36
49.958,14.10.2024 02:00:37
49.951,14.10.2024 02:00:38
49.951,14.10.2024 02:00:39
49.951,14.10.2024 02:00:40
49.951,14.10.2024 02:00:41
49.951,14.10.2024 02:00:42
49.951,14.10.2024 02:00:43
49.951,14.10.2024 02:00:44
49.951,14.10.2024 02:00:45
49.951,14.10.2024 02:00:46
49.951,14.10.2024 02:00:47
49.959,14.10.2024 02:00:48
49.959,14.10.2024 02:00:49
49.959,14.10.2024 02:00:50
49.959,14.10.2024 02:00:51
49.959,14.10.2024 02:00:52
49.959,14.10.2024 02:00:53
49.959,14.10.2024 02:00:54
49.959,14.10.2024 02:00:55
49.959,14.10.2024 02:00:56
49.959,14.10.2024 02:00:57
49.963,14.10.2024 02:00:58
49.963,14.10.2024 02:00:59
49.963,14.10.2024 02:01:00
49.963,14.10.2024 02:01:01
49.963,14.10.2024 02:01:02
49.963,14.10.2024 02:01:03
49.963,14.10.2024 02:01:04
49.963,14.10.2024 02:01:05
49.963,14.10.2024 02:01:06
49.963,14.10.2024 02:01:07
49.966,14.10.2024 02:01:08
49.966,14.10.2024 02:01:09
49.966,14.10.2024 02:01:10
49.966,14.10.2024 02:01:11
49.966,14.10.2024 02:01:12
49.966,14.10.2024 02:01:13
49.966,14.10.2024 02:01:14
49.966,14.10.2024 02:01:15
49.966,14.10.2024 02:01:16
49.966,14.10.2024 02:01:17
49.978,14.10.2024 02:01:18
49.978,14.10.2024 02:01:19
49.978,14.10.2024 02:01:20
49.978,14.10.2024 02:01:21
49.978,14.10.2024 02:01:22
49.978,14.10.2024 02:01:23
49.978,14.10.2024 02:01:24
49.978,14.10.2024 02:01:25
49.978,14.10.2024 02:01:26
49.978,14.10.2024 02:01:27
49.982,14.10.2024 02:01:28
49.982,14.10.2024 02:01:29
49.982,14.10.2024 02:01:30
49.982,14.10.2024 02:01:31
49.982,14.10.2024 02:01:32
49.982,14.10.2024 02:01:33
49.982,14.10.2024 02:01:34
49.982,14.10.2024 02:01:35
49.982,14.10.2024 02:01:36
49.982,14.10.2024 02:01:37
49.988,14.10.2024 02:01:38
49.988,14.10.2024 02:01:39
49.988,14.10.2024 02:01:40
49.988,14.10.2024 02:01:41
49.988,14.10.2024 02:01:42
49.988,14.10.2024 02:01:43
49.988,14.10.2024 02:01:44
49.988,14.10.2024 02:01:45
49.988,14.10.2024 02:01:46
49.988,14.10.2024 02:01:47
49.993,14.10.2024 02:01:48
49.993,14.10.2024 02:01:49
49.993,14.10.2024 02:01:50
49.993,14.10.2024 02:01:51
49.993,14.10.2024 02:01:52
49.993,14.10.2024 02:01:53
49.993,14.10.2024 02:01:54
49.993,14.10.2024 02:01:55
49.993,14.10.2024 02:01:56
49.993,14.10.2024 02:01:57
49.974,14.10.2024 02:01:58
49.974,14.10.2024 02:01:59
49.974,14.10.2024 02:02:00
49.974,14.10.2024 02:02:01
49.974,14.10.2024 02:02:02
49.974,14.10.2024 02:02:03
49.974,14.10.2024 02:02:04
49.974,14.10.2024 02:02:05
49.974,14.10.2024 02:02:06
49.974,14.10.2024 02:02:07
49.977,14.10.2024 02:02:08
49.977,14.10.2024 02:02:09
49.977,14.10.2024 02:02:10
49.977,14.10.2024 02:02:11
49.977,14.10.2024 02:02:12
49.977,14.10.2024 02:02:13
49.977,14.10.2024 02:02:14
49.977,14.10.2024 02:02:15
49.977,14.10.2024 02:02:16
49.977,14.10.2024 02:02:17
49.983,14.10.2024 02:02:18
49.983,14.10.2024 02:02:19
49.983,14.10.2024 02:02:20
49.983,14.10.2024 02:02:21
49.983,14.10.2024 02:02:22
49.983,14.10.2024 02:02:23
49.983,14.10.2024 02:02:24
49.983,14.10.2024 02:02:25
49.983,14.10.2024 02:02:26
49.983,14.10.2024 02:02:27
49.984,14.10.2024 02:02:28
49.984,14.10.2024 02:02:29
49.984,14.10.2024 02:02:30
49.984,14.10.2024 02:02:31
49.984,14.10.2024 02:02:32
49.984,14.10.2024 02:02:33
49.984,14.10.2024 02:02:34
49.984,14.10.2024 02:02:35
49.984,14.10.2024 02:02:36
49.984,14.10.2024 02:02:37
49.982,14.10.2024 02:02:38
49.982,14.10.2024 02:02:39
49.982,14.10.2024 02:02:40
49.982,14.10.2024 02:02:41
49.982,14.10.2024 02:02:42
49.982,14.10.2024 02:02:43
49.982,14.10.2024 02:02:44
49.982,14.10.2024 02:02:45
49.982,14.10.2024 02:02:46
49.982,14.10.2024 02:02:47
49.975,14.10.2024 02:02:48
49.975,14.10.2024 02:02:49
49.975,14.10.2024 02:02:50
49.975,14.10.2024 02:02:51
49.975,14.10.2024 02:02:52
49.975,14.10.2024 02:02:53
49.975,14.10.2024 02:02:54
49.975,14.10.2024 02:02:55
49.975,14.10.2024 02:02:56
49.975,14.10.2024 02:02:57
49.983,14.10.2024 02:02:58
49.983,14.10.2024 02:02:59
49.983,14.10.2024 02:03:00
49.983,14.10.2024 02:03:01
49.983,14.10.2024 02:03:02
49.983,14.10.2024 02:03:03
49.983,14.10.2024 02:03:04
49.983,14.10.2024 02:03:05
49.983,14.10.2024 02:03:06
49.983,14.10.2024 02:03:07
49.989,14.10.2024 02:03:08
49.989,14.10.2024 02:03:09
49.989,14.10.2024 02:03:10
49.989,14.10.2024 02:03:11
49.989,14.10.2024 02:03:12
49.989,14.10.2024 02:03:13
49.989,14.10.2024 02:03:14
49.989,14.10.2024 02:03:15
49.989,14.10.2024 02:03:16
49.989,14.10.2024 02:03:17
49.984,14.10.2024 02:03:18
49.984,14.10.2024 02:03:19
49.984,14.10.2024 02:03:20
49.984,14.10.2024 02:03:21
49.984,14.10.2024 02:03:22
49.984,14.10.2024 02:03:23
49.984,14.10.2024 02:03:24
49.984,14.10.2024 02:03:25
49.984,14.10.2024 02:03:26
49.984,14.10.2024 02:03:27
49.977,14.10.2024 02:03:28
49.977,14.10.2024 02:03:29
49.977,14.10.2024 02:03:30
49.977,14.10.2024 02:03:31
49.977,14.10.2024 02:03:32
49.977,14.10.2024 02:03:33
49.977,14.10.2024 02:03:34
49.977,14.10.2024 02:03:35
49.977,14.10.2024 02:03:36
49.977,14.10.2024 02:03:37
49.981,14.10.2024 02:03:38
