,frequency,time,phase,d
0,50.003,13.08.2024 23:07:33,331.6,7.0
1,50.004,13.08.2024 23:07:37,336.2,7.0
2,50.004,13.08.2024 23:07:38,337.6,7.0
3,50.003,13.08.2024 23:07:39,338.6,7.0
4,50.001,13.08.2024 23:07:40,338.9,7.0
5,50.001,13.08.2024 23:07:40,338.9,7.0
6,50.0,13.08.2024 23:07:41,338.9,7.0
7,49.999,13.08.2024 23:07:43,338.1,7.0
8,50.0,13.08.2024 23:07:44,337.9,7.0
9,49.999,13.08.2024 23:07:45,337.5,7.0
10,49.999,13.08.2024 23:07:46,337.3,7.0
11,49.999,13.08.2024 23:07:47,336.9,7.0
12,50.0,13.08.2024 23:07:48,337.7,7.0
13,50.001,13.08.2024 23:07:49,338.1,7.0
14,50.001,13.08.2024 23:07:50,338.2,7.0
15,50.0,13.08.2024 23:07:51,338.3,7.0
16,49.998,13.08.2024 23:07:52,337.7,7.0
17,49.997,13.08.2024 23:07:53,336.6,7.0
18,49.997,13.08.2024 23:07:54,335.3,7.0
19,49.995,13.08.2024 23:07:55,333.5,7.0
20,49.993,13.08.2024 23:07:57,328.3,7.0
21,49.992,13.08.2024 23:07:58,325.6,7.0
22,49.993,13.08.2024 23:07:59,322.8,7.0
23,49.991,13.08.2024 23:08:00,319.7,7.0
24,49.991,13.08.2024 23:08:01,316.3,7.0
25,49.99,13.08.2024 23:08:02,312.9,7.0
26,49.99,13.08.2024 23:08:03,309.4,7.0
